mass_A
t	x	y
0.0	-0.43836646266726254	0.3790876868329408
0.009999999999999998	-0.4321914793531477	0.3708160336404964
0.019999999999999997	-0.4244431117356168	0.36116222108922935
0.029999999999999995	-0.4177673552637526	0.3520241394883929
0.04000000000000022	-0.4111388132736991	0.3422450663235384
0.05000000000000022	-0.4028005787829894	0.3327517100526592
0.06000000000000022	-0.3948044109144191	0.322793992032726
0.07000000000000021	-0.38629466545855395	0.3123901479291169
0.08000000000000021	-0.37670918114990265	0.3007893754088148
0.09000000000000022	-0.36783916423542545	0.288393323142042
0.09999999999999999	-0.35853834624770325	0.2763222262742543
0.10999999999999999	-0.349090211822671	0.2642750009446077
0.11999999999999998	-0.3378407625846816	0.25263110731363203
0.12999999999999998	-0.3256278325792113	0.23920889404145562
0.13999999999999996	-0.31383114007321605	0.22618399369535347
0.14999999999999997	-0.3014068489126797	0.21240070729993832
0.15999999999999998	-0.2898852902733962	0.1987698370779534
0.16999999999999998	-0.27762777287607004	0.18567476083517448
0.17999999999999997	-0.2626647728412699	0.17157465347882273
0.18999999999999997	-0.24914145478727456	0.15861484184171631
0.19999999999999998	-0.23391087953022038	0.14310738380806198
0.20999999999999996	-0.21914633475472667	0.12829065726550515
0.21999999999999997	-0.20372125732435986	0.1141071708462611
0.22999999999999998	-0.18650362842409174	0.10085661171253679
0.23999999999999996	-0.16827860853216237	0.08658476623029115
0.24999999999999997	-0.15067660549479578	0.0719388294713581
0.25999999999999995	-0.13373123316665514	0.057823368354134375
0.26999999999999996	-0.11447452058967589	0.04515491497314439
0.2799999999999999	-0.09267824726663654	0.03168099069658137
0.29000000000000015	-0.07301375098212248	0.01820224443197882
0.30000000000000016	-0.0526152346192893	0.004685351898078616
0.31000000000000016	-0.032229222147269976	-0.009346013958703936
0.3200000000000002	-0.007725568091660584	-0.020370246133667003
0.3300000000000002	0.016130650110400158	-0.03307581879746879
0.3400000000000002	0.03814289595857845	-0.045130258940512535
0.35000000000000014	0.06120358445912688	-0.057344333521516244
0.36000000000000015	0.08726891965893702	-0.0659199105403438
0.36999999999999994	0.11300425829843452	-0.07715922496165278
0.37999999999999995	0.13689135965479204	-0.08686948261522104
0.38999999999999996	0.16312417139764457	-0.09590062912882763
0.39999999999999997	0.18959946072467126	-0.10434736347019896
0.4099999999999999	0.21656238925266091	-0.11469040325317553
0.41999999999999993	0.24230509866140248	-0.12295227644028844
0.42999999999999994	0.26986869764304955	-0.12824200102737343
0.43999999999999995	0.2989753796292558	-0.13319846646508643
0.44999999999999996	0.3257577205601139	-0.13950874617269698
0.45999999999999996	0.35341454353847723	-0.14487848162080424
0.4699999999999999	0.38248831874840516	-0.1461642051286683
0.4799999999999999	0.41129263462418786	-0.15012263927571218
0.48999999999999994	0.43981209505400876	-0.15327233577662108
0.49999999999999994	0.467851697809774	-0.1532346781323804
0.5099999999999999	0.49785137089562914	-0.1569424670707859
0.5199999999999999	0.5261072150964938	-0.15383629828939022
