mass_A
t	v	x	y
0.010000000000000455	1.0590491123276344	-0.41691629660919893	0.3655128666326885
0.02	1.0284673737759742	-0.40983675425931293	0.35588740983797046
0.030000000000000453	1.1395255254209293	-0.40275212626900625	0.3462932042603759
0.04	1.1755281505896065	-0.3966745636779017	0.3382037620275038
0.050000000000000454	1.262216484259474	-0.38846131111169996	0.3274680944313188
0.06	1.2240422440012242	-0.38149983050190134	0.31865059777191407
0.07000000000000045	1.304529420379479	-0.3719964709475593	0.30697700026654784
0.08	1.3890430072138462	-0.3633328313053526	0.296905511376128
0.09000000000000045	1.3901669722417007	-0.3539157682464573	0.28598208096798994
0.1	1.3941203993250668	-0.34432160031165393	0.27433748494886484
0.11000000000000046	1.3951377445387265	-0.3337330138786876	0.2615036893231002
0.12	1.5512828440143671	-0.3244193531652534	0.2502036279719321
0.13000000000000045	1.5952146153562337	-0.31274981853360895	0.23806961040219302
0.14	1.6411431218574937	-0.3005610429141258	0.22558593252398243
0.15	1.6365915258747337	-0.28974573611578386	0.2138821097692606
0.16	1.718515132377257	-0.2779881470800628	0.2007455338240352
0.17	1.7209711260009504	-0.26573238803028415	0.18916730777501184
0.18	1.683659022875756	-0.25351732010281214	0.17753496285644632
0.19	1.6779172137674803	-0.24284600538901324	0.16812000224344809
0.2	1.7211912171065162	-0.22789896743433358	0.15472981538461728
0.22	1.9274566438408003	-0.23068439836511234	0.12817139253481774
0.23	1.8919857790449472	-0.21641594347412507	0.10939462550038159
0.24	1.9354767648576454	-0.17137226550572193	0.10189466729320623
0.26000000000000045	1.961969813395098	-0.1395166628526291	0.07569461466922667
0.27	1.8871133672484506	-0.12305854184060006	0.06384656895089624
0.28000000000000047	1.9184758140940532	-0.10644054511767542	0.05314459986184106
0.29	1.9738108963764311	-0.08915764872834175	0.04184894838497161
0.30000000000000043	2.170787610304152	-0.07167877959122237	0.029713377620458614
0.31	2.1635526167489307	-0.0551833961314413	0.01867999103145701
0.32000000000000045	1.8793364243022048	-0.03839497350190291	0.009592880074395016
0.33	2.1141150159285766	-0.020580535969167313	1.3486736122597653E-4
0.34000000000000047	2.0766556562933185	-0.0017410419209908934	-0.01073517818621661
0.35	1.8624727399366883	0.017680926343736858	-0.02114074505098923
0.36000000000000043	2.041481615292202	0.03548490521924541	-0.029539288333455593
0.37	2.0012058078522785	0.05413241483567521	-0.037988146877056594
0.38000000000000045	2.172505411387201	0.0729246835886882	-0.04646259806357411
0.39	2.12041838240704	0.09331869656985292	-0.055660866144953525
0.40000000000000047	1.984907718223505	0.11188206583810656	-0.06309521696064169
0.41	2.1241931113391535	0.12901952139344475	-0.0687357536855831
0.42	2.0345827717040232	0.15129327882649213	-0.07716608349417747
0.43	2.0909439388451605	0.16996931060757758	-0.0843753784021975
0.44	2.067813550281454	0.18929032631005893	-0.09015878683949313
0.45	1.9877404657453897	0.20923362252507272	-0.09619470830669158
0.46	1.9975363701627105	0.23069203489861656	-0.1031271669467912
0.47	1.9900121904896013	0.2489288206541076	-0.10773324132390344
0.48	2.1317214520359666	0.2674833613907788	-0.11170190394643248
0.49	2.1066664343532167	0.28973892559074965	-0.11634013295839024
0.5	1.9264428202559185	0.296843162114385	-0.13545979766754374
0.5300000000000005	2.0381429792593475	0.3374780717657133	-0.13356773851671827
0.56	2.0261517920266408	0.39727749153097247	-0.14625116025970392
0.5700000000000005	1.9281980396260334	0.4163821402957981	-0.14712916479106758
0.58	1.946559945202756	0.43560241886175644	-0.14802739233110757
0.5900000000000004	2.0875522999829665	0.454092230434334	-0.14776430166606153
0.6	1.9924135730949615	0.47399815883099183	-0.1480312610425089
0.6100000000000004	2.0106930750688616	0.4935688921508632	-0.14664671340665597
0.62	2.0836519216591998	0.5155144220635615	-0.13466113434512644	
			
			
